Array length,Registers,Run,Tasks,Time,Percent error
28,14,3,4,2.90805292129517,1.591019
28,14,3,5,2.6694929599762,1.591019
28,14,3,6,2.57503700256348,1.591019
28,14,3,7,2.24865007400513,1.591019
28,14,3,8,2.05404996871948,1.591019
29,14,3,1,20.3048360347748,0.534132
29,14,3,2,13.7037751674652,0.534132
29,14,3,3,7.31636595726013,0.534132
29,14,3,4,5.79844403266907,0.534132
29,14,3,5,5.65160894393921,0.534132
29,14,3,6,5.09472799301147,0.534132
29,14,3,7,4.52447199821472,0.534132
29,14,3,8,4.03908705711365,0.534132
30,14,3,1,40.3661131858826,0.646681
30,14,3,2,27.2544779777527,0.646681
30,14,3,3,14.8162908554077,0.646681
30,14,3,4,11.7339639663696,0.646681
30,14,3,5,11.4594519138336,0.646681
30,14,3,6,10.233608007431,0.646681
30,14,3,7,9.03098917007446,0.646681
30,14,3,8,8.09327101707458,0.646681
26,14,4,1,2.52293491363525,0.278581
26,14,4,2,1.70253610610962,0.278581
26,14,4,3,0.948292970657349,0.278581
26,14,4,4,0.732769966125488,0.278581
26,14,4,5,0.718976974487305,0.278581
26,14,4,6,0.60823392868042,0.278581
26,14,4,7,0.574949026107788,0.278581
26,14,4,8,0.506417989730835,0.278581
27,14,4,1,5.05251097679138,0.453553
27,14,4,2,3.3425829410553,0.453553
27,14,4,3,1.8224630355835,0.453553
27,14,4,4,1.43552184104919,0.453553
27,14,4,5,1.4855580329895,0.453553
27,14,4,6,1.26404595375061,0.453553
27,14,4,7,1.10909199714661,0.453553
27,14,4,8,1.01789402961731,0.453553
28,14,4,1,10.1308000087738,1.591019
28,14,4,2,6.78919315338135,1.591019
28,14,4,3,3.68105697631836,1.591019
28,14,4,4,2.91068196296692,1.591019
28,14,4,5,2.67582392692566,1.591019
28,14,4,6,2.50157999992371,1.591019
28,14,4,7,2.25345301628113,1.591019
28,14,4,8,2.05657386779785,1.591019
29,14,4,1,20.3182361125946,0.534132
29,14,4,2,13.7182719707489,0.534132
29,14,4,3,7.30019307136536,0.534132
29,14,4,4,5.78082203865051,0.534132
29,14,4,5,5.79151701927185,0.534132
29,14,4,6,5.09268808364868,0.534132
29,14,4,7,4.429692029953,0.534132
29,14,4,8,4.04393291473389,0.534132
30,14,4,1,40.4764757156372,0.646681
30,14,4,2,27.4992332458496,0.646681
30,14,4,3,14.8088829517365,0.646681
