Array length,Registers,Run,Threads,Time,Percent error
26,14,9,4,0.658856330999981,0.278581
27,14,9,4,1.28905519500006,0.453553
28,14,9,4,2.47610248899991,1.591019
29,14,9,4,4.93892215200003,0.534132
30,14,9,4,9.88790104700001,0.646681
26,14,9,5,0.649531109000009,0.278581
27,14,9,5,1.32257592200006,0.453553
28,14,9,5,2.59944245400015,1.591019
29,14,9,5,5.09186687800002,0.534132
30,14,9,5,10.137331765,0.646681
26,14,9,6,0.573059242999989,0.278581
27,14,9,6,1.145909007,0.453553
28,14,9,6,2.20576804400002,1.591019
29,14,9,6,4.35361609399979,0.534132
30,14,9,6,8.55674448299987,0.646681
26,14,9,7,0.505093713999997,0.278581
27,14,9,7,0.994765497999992,0.453553
28,14,9,7,2.05362250099984,1.591019
29,14,9,7,3.96137092999993,0.534132
30,14,9,7,7.94248807200029,0.646681
26,14,9,8,0.436957347999964,0.278581
27,14,9,8,0.875401334000003,0.453553
28,14,9,8,1.79707233299996,1.591019
29,14,9,8,3.47826960299994,0.534132
30,14,9,8,6.94387695899968,0.646681
26,14,10,1,2.46577419499999,0.278581
27,14,10,1,5.62634785700004,0.453553
28,14,10,1,10.0461139570002,1.591019
29,14,10,1,19.8862519689999,0.534132
30,14,10,1,39.6433054230001,0.646681
26,14,10,2,1.25515484299996,0.278581
27,14,10,2,2.539558468,0.453553
28,14,10,2,5.08008350900013,1.591019
29,14,10,2,9.8630517439999,0.534132
30,14,10,2,19.8800182590003,0.646681
26,14,10,3,0.83344080400002,0.278581
27,14,10,3,1.65466545499999,0.453553
28,14,10,3,3.34563461099992,1.591019
29,14,10,3,6.59700425999995,0.534132
30,14,10,3,13.1456523089996,0.646681
26,14,10,4,0.628796472000033,0.278581
27,14,10,4,1.23355347699999,0.453553
28,14,10,4,2.49108474100012,1.591019
29,14,10,4,4.97321301700003,0.534132
30,14,10,4,9.94092695800009,0.646681
26,14,10,5,0.643176879000009,0.278581
27,14,10,5,1.30331808900007,0.453553
28,14,10,5,2.56565504300011,1.591019
29,14,10,5,5.01177731799999,0.534132
30,14,10,5,10.2308755260001,0.646681
26,14,10,6,0.561623106000013,0.278581
27,14,10,6,1.08380137200004,0.453553
28,14,10,6,2.16504404399984,1.591019
29,14,10,6,4.41200636399981,0.534132
30,14,10,6,9.03217994800025,0.646681
26,14,10,7,0.501967137999998,0.278581
27,14,10,7,0.99353545200006,0.453553
28,14,10,7,2.06092961099989,1.591019
29,14,10,7,3.92891139200015,0.534132
30,14,10,7,7.88739120599985,0.646681
26,14,10,8,0.439842804000023,0.278581
27,14,10,8,0.874697454999932,0.453553
28,14,10,8,1.80087237399994,1.591019
29,14,10,8,3.48178378300008,0.534132
30,14,10,8,6.940200688,0.646681
26,14,11,1,2.479933174,0.278581
27,14,11,1,4.95733882600007,0.453553
28,14,11,1,10.0307624090001,1.591019
29,14,11,1,20.7588423060001,0.534132
