Array length,Registers,Seed,Run,Threads,Time,Percent error
25,14,1,8,6,0.300279882999803,0.226281
26,14,1,8,6,0.607874205999906,0.278581
27,14,1,8,6,1.19995317799976,0.453553
28,14,1,8,6,2.33845306700005,1.591019
29,14,1,8,6,4.54552587800026,0.534132
30,14,1,8,6,9.00290254100037,0.646681
25,14,1,8,7,0.263536982000005,0.226281
26,14,1,8,7,0.532752198000253,0.278581
27,14,1,8,7,1.09414694700035,0.453553
28,14,1,8,7,2.17028613399998,1.591019
29,14,1,8,7,4.40585672499947,0.534132
30,14,1,8,7,8.63389529899996,0.646681
25,14,1,8,8,0.247405231999892,0.226281
26,14,1,8,8,0.489940551000018,0.278581
27,14,1,8,8,0.978454153999792,0.453553
28,14,1,8,8,1.90122573999997,1.591019
29,14,1,8,8,3.79419469100048,0.534132
30,14,1,8,8,7.55326620699998,0.646681
25,14,1,9,1,1.23173980199999,0.226281
26,14,1,9,1,2.7373126159996,0.278581
27,14,1,9,1,5.59003753299976,0.453553
28,14,1,9,1,10.9022022510003,1.591019
29,14,1,9,1,19.8594004699999,0.534132
30,14,1,9,1,38.7071411659999,0.646681
25,14,1,9,2,0.628058394000163,0.226281
26,14,1,9,2,1.35418572300023,0.278581
27,14,1,9,2,2.72491806400012,0.453553
28,14,1,9,2,5.45537338900021,1.591019
29,14,1,9,2,9.80375038199963,0.534132
30,14,1,9,2,19.4829969140001,0.646681
25,14,1,9,3,0.424783809000019,0.226281
26,14,1,9,3,0.912236126000153,0.278581
27,14,1,9,3,1.80373308799972,0.453553
28,14,1,9,3,3.66805520300022,1.591019
29,14,1,9,3,6.5761486880001,0.534132
30,14,1,9,3,12.9694976829996,0.646681
25,14,1,9,4,0.322938304000218,0.226281
26,14,1,9,4,0.835004667000248,0.278581
27,14,1,9,4,1.37687236600004,0.453553
28,14,1,9,4,2.74280194799985,1.591019
29,14,1,9,4,4.94775309700071,0.534132
30,14,1,9,4,9.76086157999998,0.646681
25,14,1,9,5,0.323244192999937,0.226281
26,14,1,9,5,0.608512813999823,0.278581
27,14,1,9,5,1.3385247629999,0.453553
28,14,1,9,5,2.64203671699988,1.591019
29,14,1,9,5,4.70759305699994,0.534132
30,14,1,9,5,9.93184979999933,0.646681
25,14,1,9,6,0.31174488600027,0.226281
26,14,1,9,6,0.637993367000036,0.278581
27,14,1,9,6,1.13931588900004,0.453553
28,14,1,9,6,2.30533340800002,1.591019
29,14,1,9,6,4.44836238800053,0.534132
30,14,1,9,6,9.17865117699967,0.646681
25,14,1,9,7,0.276368361000095,0.226281
26,14,1,9,7,0.546275724000225,0.278581
27,14,1,9,7,1.0912204250003,0.453553
28,14,1,9,7,2.16831522200027,1.591019
29,14,1,9,7,4.18987319700045,0.534132
30,14,1,9,7,8.26856066900018,0.646681
25,14,1,9,8,0.249320175999856,0.226281
26,14,1,9,8,0.483702988000005,0.278581
27,14,1,9,8,0.961369412000295,0.453553
28,14,1,9,8,1.90780346700012,1.591019
29,14,1,9,8,3.81790476800052,0.534132
30,14,1,9,8,7.46448505900025,0.646681
25,14,1,10,1,1.2196710180001,0.226281
26,14,1,10,1,2.76041265499998,0.278581
27,14,1,10,1,5.39804314100002,0.453553
28,14,1,10,1,10.805397908,1.591019
29,14,1,10,1,19.4206617530008,0.534132
30,14,1,10,1,38.7711703249997,0.646681
25,14,1,10,2,0.612896788999933,0.226281
26,14,1,10,2,1.29208961099994,0.278581
27,14,1,10,2,2.73400886199988,0.453553
28,14,1,10,2,5.26056524700016,1.591019
29,14,1,10,2,9.73779412899967,0.534132
30,14,1,10,2,19.5186474029997,0.646681
25,14,1,10,3,0.420508995000091,0.226281
26,14,1,10,3,0.938577321000139,0.278581
27,14,1,10,3,1.87503775100004,0.453553
28,14,1,10,3,3.44241540799976,1.591019
29,14,1,10,3,6.51418345399998,0.534132
30,14,1,10,3,12.9957293610005,0.646681
25,14,1,10,4,0.311993973999961,0.226281
26,14,1,10,4,0.700300856000013,0.278581
27,14,1,10,4,1.38658845000009,0.453553
28,14,1,10,4,2.65596413499998,1.591019
29,14,1,10,4,6.6867763070004,0.534132
30,14,1,10,4,9.77281158500045,0.646681
25,14,1,10,5,0.325955773999794,0.226281
26,14,1,10,5,0.607776867000211,0.278581
27,14,1,10,5,1.23035012199989,0.453553
28,14,1,10,5,2.40887838300023,1.591019
29,14,1,10,5,4.73646822499995,0.534132
30,14,1,10,5,11.2075664009999,0.646681
25,14,1,10,6,0.287184876000083,0.226281
26,14,1,10,6,0.584263229000044,0.278581
27,14,1,10,6,1.14210505200026,0.453553
28,14,1,10,6,2.27344538499983,1.591019
29,14,1,10,6,4.61519735300044,0.534132
30,14,1,10,6,9.28187866299959,0.646681
25,14,1,10,7,0.272590196000237,0.226281
26,14,1,10,7,0.531867215999682,0.278581
27,14,1,10,7,1.09054603300001,0.453553
28,14,1,10,7,2.10332978199995,1.591019
29,14,1,10,7,4.32879027800027,0.534132
30,14,1,10,7,8.5052237459995,0.646681
